Size,Selection,Mutation,Run,BestObjective1
750,Torneio,0.00133333,3,27755.7
750,Torneio,0.00133333,4,29861.9
750,Torneio,0.00133333,5,28841.1
750,Torneio,0.00133333,6,29762
750,Torneio,0.00133333,7,29184
750,Torneio,0.00133333,8,29871.2
750,Torneio,0.00133333,9,28761.1
750,Torneio,0.00133333,10,28786.8
750,Torneio,0.00133333,11,29288.5
750,Torneio,0.00133333,12,29085.9
750,Torneio,0.00133333,13,29078.7
750,Torneio,0.00133333,14,28451.1
750,Torneio,0.00133333,15,28624.3
750,Torneio,0.00133333,16,29659.2
750,Torneio,0.00133333,17,30185.7
750,Torneio,0.00133333,18,29488.9
750,Torneio,0.00133333,19,28559.5
750,Torneio,0.00133333,20,28611.3
750,Torneio,0.00133333,21,29001.1
750,Torneio,0.00133333,22,28758.7
750,Torneio,0.00133333,23,27639
750,Torneio,0.00133333,24,29170.3
750,Torneio,0.00133333,25,28930.3
750,Torneio,0.00133333,26,28846.5
750,Torneio,0.00133333,27,29711.7
750,Torneio,0.00133333,28,29065.1
750,Torneio,0.00133333,29,28287.2
750,Torneio,0.00133333,30,29397.1
1000,Roleta,0.001,1,29406.6
1000,Roleta,0.001,2,30277.3
1000,Roleta,0.001,3,29661.4
1000,Roleta,0.001,4,30678.1
1000,Roleta,0.001,5,29937
1000,Roleta,0.001,6,29728.3
1000,Roleta,0.001,7,30083
1000,Roleta,0.001,8,29963.3
1000,Roleta,0.001,9,31255.3
1000,Roleta,0.001,10,30605.9
1000,Roleta,0.001,11,30008.1
1000,Roleta,0.001,12,30492
1000,Roleta,0.001,13,29859.6
1000,Roleta,0.001,14,29188.1
1000,Roleta,0.001,15,29355.1
1000,Roleta,0.001,16,28648.9
1000,Roleta,0.001,17,29611.8
1000,Roleta,0.001,18,28711.6
1000,Roleta,0.001,19,30856.7
1000,Roleta,0.001,20,30222.7
1000,Roleta,0.001,21,28940.3
1000,Roleta,0.001,22,29916.1
1000,Roleta,0.001,23,30662.5
1000,Roleta,0.001,24,28731.8
1000,Roleta,0.001,25,29513.1
